Year,Month,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2
2017,April,HYDERABAD,AGARTALA,49,55
2017,April,HYDERABAD,AURANGABAD,1461,1791
2017,April,HYDERABAD,BAGDOGRA,0,422
2017,April,HYDERABAD,CHANDIGARH,4195,3661
2017,April,HYDERABAD,CHENNAI,48886,49131
2017,April,HYDERABAD,INDORE,5533,5943
2017,April,HYDERABAD,JABALPUR,2237,2802
2017,April,HYDERABAD,JAIPUR,9770,9775
2017,April,HYDERABAD,LUCKNOW,5063,4455
2017,April,HYDERABAD,MADURAI,5704,5764
2017,April,HYDERABAD,MANGALORE,2746,2782
2017,April,HYDERABAD,NANDED,121,149
2017,April,HYDERABAD,PORT BLAIR,4401,4652
2017,April,HYDERABAD,PUNE,14430,15324
2017,April,HYDERABAD,RAIPUR,8205,9941
2017,April,HYDERABAD,RAJAHMUNDRY,8195,8312
2017,April,HYDERABAD,TIRUPATI,18072,17933
2017,April,HYDERABAD,TRIVANDRUM,2187,2344
2017,April,HYDERABAD,UDAIPUR,0,532
2017,April,HYDERABAD,VARANASI,9802,9071
2017,April,HYDERABAD,VIJAYAWADA,9624,11751
2017,April,HYDERABAD,VISAKHAPATNAM,32179,32548
2017,April,HYDERABAD,AHMEDABAD,21679,19360
2017,April,HYDERABAD,BENGALURU,67590,69564
2017,April,HYDERABAD,BHOPAL,1124,0
2017,April,HYDERABAD,BHUBANESWAR,26488,21998
2017,April,HYDERABAD,COIMBATORE,16208,17223
2017,April,HYDERABAD,CUDDAPAH,158,220
2017,April,HYDERABAD,DEHRA DUN,745,598
2017,April,HYDERABAD,DELHI,106733,93808
2017,April,HYDERABAD,GOA,21278,23085
2017,April,HYDERABAD,GUWAHATI,3115,3473
2017,April,HYDERABAD,KOCHI,26646,27774
2017,April,HYDERABAD,KOLKATA,27579,21966
2017,April,HYDERABAD,MUMBAI,84667,84543
2017,April,HYDERABAD,VADODARA,145,510
2017,August,HYDERABAD,AGARTALA,0,293
2017,August,HYDERABAD,AURANGABAD,1716,1847
2017,August,HYDERABAD,BAGDOGRA,0,341
2017,August,HYDERABAD,CHANDIGARH,6983,6821
2017,August,HYDERABAD,CHENNAI,49715,47851
